Set_ID,sim,Time,end_gen,ngen1,ngen2,Ne,n_ind,n_ind_exp,n_cages,sequence_length,r_msp,r,r_expt,mu_msp,mu,mu_expt,shape,scale,mut_ratio,flip_sel_coef,Ve_w,Ve_w_expt,proj,LDalpha,pa,Vs,randomise,palpha_method,balpha_method,Ne_exp,va_true,vA_true,vA_est,vA_alpha_emp,vA_BC,Ne_BC,Residual_var,palpha_emp,balpha_intercept_emp,balpha_slope_emp,sigma2alpha_emp,palpha_est,palpha_var_est,balpha_intercept_est,balpha_slope_est,balpha_var_est,sigma2alpha_est,seg_sites,seg_sites_neu,seg_sites_ben,seg_sites_del,mean_diversity,theta,all.gp,analysis_stamp
Set_N1_bigbird_2025-01-20_23-29-56.626209_5.23636363636364e-08_5_2_1000_10_4_0_0,1,2025-01-21 00:46:01.079126,25000,1,4,2500,2500,1000,10,1e+06,5.32e-07,5e-06,2e-06,5.23636363636364e-08,5.23636363636364e-07,0,0.3,0.045,0,0,1,1,BLoM,FALSE,1,LoNL,TRUE,NA,NA_NA,1000_367.879441171442,0.015989715340466,0.015642936519532,0.0230825067600458,0.0179990812853118,NA,NA,1.08133297586948,-1.31464508103571,-3.56299322578266e-06,0.000375966316380294,3.7960459825147e-08,-0.76018006307863,0.287487522964539,-7.64004576391525e-05,0.000202882168240189,8.12375413705497e-08_7.35336424295635e-08_-1.35897513904113e-09,1.11667729375062e-06,67541,56424,5615,5502,0.0244014972183563,0.00825899845097559,FALSE,bigbird_2025-01-27_19-27-18.042307
Set_N1_bigbird_2025-01-20_23-29-56.641648_3.92727272727273e-08_5_2_1000_10_4_0_0,1,2025-01-21 00:33:27.096581,25000,1,4,2500,2500,1000,10,1e+06,5.32e-07,5e-06,2e-06,3.92727272727273e-08,3.92727272727273e-07,0,0.3,0.045,0,0,1,1,BLoM,FALSE,1,LoNL,TRUE,NA,NA_NA,1000_367.879441171442,0.0112602221440639,0.0118150945669679,0.0050944075862799,0.0128551658368629,NA,NA,1.02901574450524,-1.32891489943192,-3.12275439846899e-06,0.000263282638833403,2.51793765050581e-08,-0.046261197894637,-33.2925558927806,-0.000286336216823077,0.000297906549811126,7.24342108722339e-08_7.01293886396737e-08_-3.48673398205061e-09,2.64087732227888e-06,67243,59044,4160,4039,0.0251481444146603,0.00822255863607219,FALSE,biggar_2025-01-27_16-21-36.681193
Set_N1_bigbird_2025-01-21_00-03-26.591013_7.85454545454545e-08_5_2_1000_10_4_0_0,1,2025-01-21 01:45:03.70848,25000,1,4,2500,2500,1000,10,1e+06,5.32e-07,5e-06,2e-06,7.85454545454545e-08,7.85454545454545e-07,0,0.3,0.045,0,0,1,1,BLoM,FALSE,1,LoNL,TRUE,NA,NA_NA,1000_367.879441171442,0.021863025968782,0.0214548509456751,0.0180750487902435,0.0234422903825708,NA,NA,1.03809924630249,-1.22754286690126,-1.11641111613013e-05,0.000652527313103331,8.44028405420693e-08,-0.780764018750857,0.207247082943524,-0.000181397506804618,0.000374260643220527,8.48951406291934e-08_7.71032824309729e-08_-1.19504498694972e-09,8.14930269413228e-07,67341,51502,7915,7924,0.0225653902600199,0.00823454219936257,FALSE,bigfoot_2025-01-27_19-47-22.180065
Set_N1_bigbird_2025-01-21_00-57-57.024617_1.01454545454545e-07_5_2_1000_10_4_0_0,1,2025-01-21 02:51:55.797859,25000,1,4,2500,2500,1000,10,1e+06,5.32e-07,5e-06,2e-06,1.01454545454545e-07,1.01454545454545e-06,0,0.3,0.045,0,0,1,1,BLoM,FALSE,1,LoNL,TRUE,NA,NA_NA,1000_367.879441171442,0.0286249650402912,0.0299179988325545,0.0104215230241234,0.0303217385592318,NA,NA,1.00815963183144,-1.18285519612518,-1.37252402957858e-07,0.000882798008658087,1.42595522443337e-07,-0.0252632630690641,2.54958626826604,-0.000305580340447546,0.000457327946776886,8.33954561034654e-08_7.32437418985355e-08_1.10961987482707e-09,6.52707043596676e-06,67223,47805,9791,9627,0.021586050542597,0.00822011301091088,FALSE,bigbird_2025-01-27_19-10-50.262582
Set_N1_bigbird_2025-01-21_01-02-41.593465_1.11272727272727e-07_5_2_1000_10_4_0_0,1,2025-01-21 03:07:16.419189,25000,1,4,2500,2500,1000,10,1e+06,5.32e-07,5e-06,2e-06,1.11272727272727e-07,1.11272727272727e-06,0,0.3,0.045,0,0,1,1,BLoM,FALSE,1,LoNL,TRUE,NA,NA_NA,1000_367.879441171442,0.0306858591299922,0.0315369549234765,0.027543368200522,0.0321055221450094,NA,NA,1.05068147069949,-1.14341458250797,1.99186492749654e-05,0.00104479663969672,1.90804694124631e-07,-0.961831321652588,0.183225477150008,0.000153526415814937,0.000865063271361903,1.00511641644826e-07_9.16070625606156e-08_-1.52066814292301e-09,4.90577577481763e-07,67433,46214,10625,10594,0.0208220838369196,0.00824579207510456,FALSE,biggar_2025-01-27_16-16-29.19068
Set_N1_bigbird_2025-01-21_01-10-41.57659_1.17818181818182e-07_5_2_1000_10_4_0_0,1,2025-01-21 03:11:26.439555,25000,1,4,2500,2500,1000,10,1e+06,5.32e-07,5e-06,2e-06,1.17818181818182e-07,1.17818181818182e-06,0,0.3,0.045,0,0,1,1,BLoM,FALSE,1,LoNL,TRUE,NA,NA_NA,1000_367.879441171442,0.0309584521626198,0.0314316230851861,0.0179260342734049,0.032769589303827,NA,NA,1.11169200651351,-1.10868518116868,3.19474745823283e-06,0.00119228110994542,2.36111616501305e-07,-0.929928745953668,0.207222309545205,-0.000591188212087923,0.000834570251390407,9.7349745118424e-08_8.15130180720327e-08_4.39183006127006e-09,3.62074789585319e-07,67333,45042,11162,11129,0.0207800306090624,0.00823356394929805,FALSE,bigwig_2025-01-27_19-47-55.17554
Set_N1_bigbird_2025-01-21_02-47-42.202622_1.53818181818182e-07_5_2_1000_10_4_0_0,1,2025-01-21 05:15:35.346095,25000,1,4,2500,2500,1000,10,1e+06,5.32e-07,5e-06,2e-06,1.53818181818182e-07,1.53818181818182e-06,0,0.3,0.045,0,0,1,1,BLoM,FALSE,1,LoNL,TRUE,NA,NA_NA,1000_367.879441171442,0.0427790795635429,0.0416839400435299,0.0435630147281274,0.0453084237845893,NA,NA,1.07482938410868,-1.0904183313254,5.86620573322161e-06,0.00168228301029718,3.54404658159772e-07,-0.908540630510802,0.040923105619446,-0.00015083506392362,0.000612922051433558,1.19890279409219e-07_1.1697793699647e-07_-4.28036751112094e-09,1.07337987802911e-06,67672,39684,14065,13923,0.0190523874848534,0.00827501729578212,FALSE,bigfoot_2025-01-27_19-53-13.952417
Set_N1_bigbird_2025-01-21_03-00-11.629325_1.63636363636364e-07_5_2_1000_10_4_0_0,1,2025-01-21 05:40:14.590381,25000,1,4,2500,2500,1000,10,1e+06,5.32e-07,5e-06,2e-06,1.63636363636364e-07,1.63636363636364e-06,0,0.3,0.045,0,0,1,1,BLoM,FALSE,1,LoNL,TRUE,NA,NA_NA,1000_367.879441171442,0.0450083094385318,0.0443212576304494,0.0315665421943943,0.0483164300123185,NA,NA,1.12205885129945,-1.02938911879233,1.04960333374133e-05,0.00199061187326669,5.35119299557246e-07,-0.823780372985476,0.0895132110394714,0.000288691712749404,0.00123583813718845,1.23394123006959e-07_1.14265202541677e-07_-1.13611879282979e-09,1.16363459243833e-06,67539,37680,14890,14969,0.0180741650879492,0.00825875388845946,FALSE,biggar_2025-01-27_21-44-56.552346
Set_N1_bigbird_2025-01-21_03-19-26.622983_1.73454545454545e-07_5_2_1000_10_4_0_0,1,2025-01-21 05:52:20.185105,25000,1,4,2500,2500,1000,10,1e+06,5.32e-07,5e-06,2e-06,1.73454545454545e-07,1.73454545454545e-06,0,0.3,0.045,0,0,1,1,BLoM,FALSE,1,LoNL,TRUE,NA,NA_NA,1000_367.879441171442,0.04775472586565,0.0482195871365765,0.0261043898613547,0.0520221487733339,NA,NA,1.0982769480897,-1.02574890305658,9.67820842959032e-06,0.0021899738318988,5.7741216742117e-07,-0.873169415386211,0.115050924435493,1.97693135331253e-05,0.000887535560435621,1.27407020058115e-07_1.03705022949171e-07_3.33859313121649e-10,7.66975641887916e-07,67501,35964,15843,15694,0.0177874418360469,0.00825410720065298,FALSE,biggar_2025-01-27_21-36-38.996353
Set_N1_bigbird_2025-01-21_03-51-27.148926_1.83272727272727e-07_5_2_1000_10_4_0_0,1,2025-01-21 06:32:42.675095,25000,1,4,2500,2500,1000,10,1e+06,5.32e-07,5e-06,2e-06,1.83272727272727e-07,1.83272727272727e-06,0,0.3,0.045,0,0,1,1,BLoM,FALSE,1,LoNL,TRUE,NA,NA_NA,1000_367.879441171442,0.0506086109357022,0.0525898823706053,0.0402010484226624,0.0556418615497359,NA,NA,1.34956088158311,-1.01038913505079,-1.5814926092171e-05,0.00238693283200484,6.67924766051416e-07,-0.666327959761262,0.180481279598904,0.000278624139774353,0.00134659657716375,1.7224061896957e-07_1.41094777475702e-07_3.57109591355751e-09,3.23055729573991e-06,67587,34389,16479,16719,0.0171898849242458,0.00826462338884658,FALSE,bigbird_2025-01-28_03-26-34.899379
Set_N1_bigbird_2025-01-21_05-43-11.598378_2.19272727272727e-07_5_2_1000_10_4_0_0,1,2025-01-21 08:38:34.865881,25000,1,4,2500,2500,1000,10,1e+06,5.32e-07,5e-06,2e-06,2.19272727272727e-07,2.19272727272727e-06,0,0.3,0.045,0,0,1,1,BLoM,FALSE,1,LoNL,TRUE,NA,NA_NA,1000_367.879441171442,0.059214150103461,0.0597115181282884,0.0330764394641843,0.0704024555979418,NA,NA,1.18180328168644,-0.944221922205803,-1.26604320841353e-05,0.00324251934668773,1.14769368915437e-06,-0.817111087057,0.12120591697725,0.000339616680409963,0.0015639951333876,1.50477288079643e-07_1.17181931048879e-07_1.54418839255788e-09,1.25063385660918e-06,67479,28763,19329,19387,0.0155432957160746,0.00825141701297555,FALSE,bigbird_2025-01-28_03-46-37.085766
Set_N1_bigbird_2025-01-21_06-39-11.767805_2.35636363636364e-07_5_2_1000_10_4_0_0,1,2025-01-21 09:53:19.581743,25000,1,4,2500,2500,1000,10,1e+06,5.32e-07,5e-06,2e-06,2.35636363636364e-07,2.35636363636364e-06,0,0.3,0.045,0,0,1,1,BLoM,FALSE,1,LoNL,TRUE,NA,NA_NA,1000_367.879441171442,0.0681086191145374,0.0671154085104224,0.0571486350012781,0.0815103558471674,NA,NA,1.30251809067495,-0.912217474984113,-9.17139281750361e-07,0.00377117191073414,1.59578246404366e-06,-0.982017841699809,0.0556734544030053,-0.0008475180516075,0.000297348611265347,1.89679320434996e-07_1.50938116041453e-07_-5.90092252142886e-09,9.36858097476736e-07,67535,26580,20680,20275,0.0150568683571481,0.0082582647634272,FALSE,bigfoot_2025-01-28_04-38-01.38022
Set_N1_bigbird_2025-01-21_06-45-11.593436_2.38909090909091e-07_5_2_1000_10_4_0_0,1,2025-01-21 09:48:10.332415,25000,1,4,2500,2500,1000,10,1e+06,5.32e-07,5e-06,2e-06,2.38909090909091e-07,2.38909090909091e-06,0,0.3,0.045,0,0,1,1,BLoM,FALSE,1,LoNL,TRUE,NA,NA_NA,1000_367.879441171442,0.0643810511493125,0.06519658741307,0.0608531251336641,0.0765541278735265,NA,NA,1.16346612209591,-0.917865255348622,1.35278689496046e-05,0.00366466007700063,1.45746293105278e-06,-1.02288135956308,0.0461260588690029,1.66458437796449e-05,0.00209988880963116,1.59523641333297e-07_1.41231542164317e-07_-1.77429022985972e-09,7.18526775619795e-07,67524,27329,20128,20067,0.0150052098383538,0.00825691966958848,FALSE,bigwig_2025-01-28_04-17-47.594864
Set_N1_bigbird_2025-01-21_07-07-11.625422_2.48727272727273e-07_5_2_1000_10_4_0_0,1,2025-01-21 10:38:22.747841,25000,1,4,2500,2500,1000,10,1e+06,5.32e-07,5e-06,2e-06,2.48727272727273e-07,2.48727272727273e-06,0,0.3,0.045,0,0,1,1,BLoM,FALSE,1,LoNL,TRUE,NA,NA_NA,1000_367.879441171442,0.0685724147263404,0.0700721226522511,0.0556938150670041,0.0843426075519531,NA,NA,1.16739050915771,-0.885163570431064,5.70645330927704e-05,0.00392009809066128,1.8659500488512e-06,-0.831993481704865,0.0396106391998339,-0.000239649604340374,0.00177314075510998,1.75852567712644e-07_1.38732752610387e-07_-4.46683559352494e-10,2.00691607072826e-06,67931,26767,20546,20618,0.0155628706555181,0.00830668814162098,FALSE,bigfoot_2025-01-28_04-32-30.145969
Set_N1_bigbird_2025-01-21_09-59-11.602816_2.97818181818182e-07_5_2_1000_10_4_0_0,1,2025-01-21 13:50:46.992531,25000,1,4,2500,2500,1000,10,1e+06,5.32e-07,5e-06,2e-06,2.97818181818182e-07,2.97818181818182e-06,0,0.3,0.045,0,0,1,1,BLoM,FALSE,1,LoNL,TRUE,NA,NA_NA,1000_367.879441171442,0.0848035547419767,0.0826608935881902,0.0395261285721975,0.115756715581198,NA,NA,1.22272396093241,-0.819834542958147,0.000139972399753001,0.00561047478901343,3.39592057352438e-06,-0.455697925307431,0.282541128707366,-0.000982126259869394,0.00200885973601345,2.07720463254519e-07_1.64293591493132e-07_1.00402118692172e-08,8.02981753952968e-06,67566,19265,24440,23861,0.0135112364798863,0.00826205548242722,FALSE,biggar_2025-01-28_02-47-01.095728
