Set_ID,sim,Time,end_gen,ngen1,ngen2,Ne,n_ind,n_ind_exp,n_cages,sequence_length,r_msp,r,r_expt,mu_msp,mu,mu_expt,shape,scale,mut_ratio,flip_sel_coef,Ve_w,Ve_w_expt,vA_true,vA_true_new,va_true,va_true_new,va_left,va_left_new,time_stamp_va_left
Set_11_bigbird_2024-12-31_00-34-42.155223_6.06545454545455e-08_0.5_2_1000_10_4_0_2e-04,1,2024-12-31 01:04:33.872387,25000,1,4,2500,2500,1000,10,1e+06,5.32e-07,5e-07,2e-06,6.06545454545455e-08,6.06545454545455e-07,0,0.3,0.033,2e-04,0,1,1,0.0117482260154065,0.0112069629917793,0.0123145112005661,0.0117638859359997,0.0108637171828824,0.0104211580852466,ac3-n6_2025-04-08_17-46-09.861152
Set_11_bigbird_2024-12-31_00-34-42.180982_6.57090909090909e-08_0.5_2_1000_10_4_0_2e-04,1,2024-12-31 01:06:43.32035,25000,1,4,2500,2500,1000,10,1e+06,5.32e-07,5e-07,2e-06,6.57090909090909e-08,6.57090909090909e-07,0,0.3,0.033,2e-04,0,1,1,0.0158058081367446,0.015158859074662,0.0139020650503709,0.0133235644864341,0.0122434467907388,0.0117771877538882,ac3-n6_2025-04-08_17-41-46.816797
Set_11_bigbird_2024-12-31_00-34-42.248052_8.08727272727273e-08_0.5_2_1000_10_4_0_2e-04,1,2024-12-31 01:08:05.893519,25000,1,4,2500,2500,1000,10,1e+06,5.32e-07,5e-07,2e-06,8.08727272727273e-08,8.08727272727273e-07,0,0.3,0.033,2e-04,0,1,1,0.0152303820887921,0.0146691465354562,0.015637301767442,0.0150561697618959,0.0138795431648327,0.0134021208384294,ac3-n6_2025-04-08_17-44-57.378461
Set_11_bigbird_2024-12-31_00-34-42.331439_9.09818181818182e-08_0.5_2_1000_10_4_0_2e-04,1,2024-12-31 01:12:14.566519,25000,1,4,2500,2500,1000,10,1e+06,5.32e-07,5e-07,2e-06,9.09818181818182e-08,9.09818181818182e-07,0,0.3,0.033,2e-04,0,1,1,0.0173785531062636,0.0167250688721887,0.0172292081564526,0.016553388679686,0.015359281209895,0.0148137350286875,ac3-n6_2025-04-08_17-43-43.326792
Set_11_bigbird_2024-12-31_00-52-42.033637_1.06145454545455e-07_0.5_2_1000_10_4_0_2e-04,1,2024-12-31 01:34:19.647851,25000,1,4,2500,2500,1000,10,1e+06,5.32e-07,5e-07,2e-06,1.06145454545455e-07,1.06145454545455e-06,0,0.3,0.033,2e-04,0,1,1,0.0214909123015023,0.0205266467645518,0.0220587335980108,0.0211156592889981,0.0195731472328595,0.0187793522633031,ac3-n6_2025-04-08_17-45-04.00067
Set_11_bigbird_2024-12-31_00-55-41.621286_1.21309090909091e-07_0.5_2_1000_10_4_0_2e-04,1,2024-12-31 01:41:34.985152,25000,1,4,2500,2500,1000,10,1e+06,5.32e-07,5e-07,2e-06,1.21309090909091e-07,1.21309090909091e-06,0,0.3,0.033,2e-04,0,1,1,0.0237412455688309,0.022688550042475,0.0254020074271166,0.0243110905706366,0.0220722387489117,0.0212135741398292,ac3-n6_2025-04-08_17-41-54.512893
Set_11_bigbird_2024-12-31_01-11-56.69075_1.36472727272727e-07_0.5_2_1000_10_4_0_2e-04,1,2024-12-31 02:01:10.668739,25000,1,4,2500,2500,1000,10,1e+06,5.32e-07,5e-07,2e-06,1.36472727272727e-07,1.36472727272727e-06,0,0.3,0.033,2e-04,0,1,1,0.0267232192039887,0.0255249905579612,0.0286150054665193,0.0274051271486666,0.0253255040278446,0.0243371157035238,ac3-n5_2025-04-08_17-31-33.626673
Set_11_bigbird_2024-12-31_01-15-26.610491_1.46581818181818e-07_0.5_2_1000_10_4_0_2e-04,1,2024-12-31 02:05:44.264523,25000,1,4,2500,2500,1000,10,1e+06,5.32e-07,5e-07,2e-06,1.46581818181818e-07,1.46581818181818e-06,0,0.3,0.033,2e-04,0,1,1,0.0241999290473832,0.0231691401888377,0.0296151980402281,0.0283960368001445,0.0264791728114462,0.025471170044887,ac3-n5_2025-04-08_19-11-50.241364
Set_11_bigbird_2024-12-31_01-37-41.665232_1.668e-07_0.5_2_1000_10_4_0_2e-04,1,2024-12-31 02:31:31.314571,25000,1,4,2500,2500,1000,10,1e+06,5.32e-07,5e-07,2e-06,1.668e-07,1.668e-06,0,0.3,0.033,2e-04,0,1,1,0.0314505964516634,0.0300799263736308,0.0357280505294017,0.0342734135373822,0.0316839114685908,0.0304740387918988,ac3-n6_2025-04-08_19-29-18.803735
Set_11_bigbird_2024-12-31_01-39-26.828738_1.76909090909091e-07_0.5_2_1000_10_4_0_2e-04,1,2024-12-31 02:36:25.038824,25000,1,4,2500,2500,1000,10,1e+06,5.32e-07,5e-07,2e-06,1.76909090909091e-07,1.76909090909091e-06,0,0.3,0.033,2e-04,0,1,1,0.0348840486187759,0.0333998365596126,0.0353727698726627,0.0339437004681406,0.0309664704525204,0.0298648846273503,ac3-n6_2025-04-08_19-30-18.897963
