Set_ID,sim,Time,end_gen,ngen1,ngen2,Ne,n_ind,n_ind_exp,n_cages,sequence_length,r_msp,r,r_expt,mu_msp,mu,mu_expt,shape,scale,mut_ratio,flip_sel_coef,Ve_w,Ve_w_expt,va_true,va_left,time_stamp_va_left
Set_7_c3_2024-12-18_22-42-44.113625_2.66060606060606e-08_0.5_2_1000_10_4_0_0,1,2024-12-18 23:03:19.193459,25000,1,4,2500,2500,1000,10,1e+06,5.32e-07,5e-07,2e-06,2.66060606060606e-08,2.66060606060606e-07,0,0.3,0.1,0,0,1,1,0.0172951587804496,0.0121920374764186,ac3-n6_2025-03-13_15-50-37.145128
Set_7_c3_2024-12-18_22-42-44.118078_3.09090909090909e-08_0.5_2_1000_10_4_0_0,1,2024-12-18 23:08:31.286237,25000,1,4,2500,2500,1000,10,1e+06,5.32e-07,5e-07,2e-06,3.09090909090909e-08,3.09090909090909e-07,0,0.3,0.1,0,0,1,1,0.0195921203488036,0.0142738832098143,ac3-n6_2025-03-13_15-50-42.306082
Set_7_c3_2024-12-18_22-42-44.156544_2.37373737373737e-08_0.5_2_1000_10_4_0_0,1,2024-12-18 23:06:44.383702,25000,1,4,2500,2500,1000,10,1e+06,5.32e-07,5e-07,2e-06,2.37373737373737e-08,2.37373737373737e-07,0,0.3,0.1,0,0,1,1,0.0138620308031586,0.0100018245393407,ac3-n6_2025-03-13_15-51-36.350322
Set_7_c3_2024-12-18_23-04-29.905673_3.66464646464646e-08_0.5_2_1000_10_4_0_0,1,2024-12-18 23:25:54.804744,25000,1,4,2500,2500,1000,10,1e+06,5.32e-07,5e-07,2e-06,3.66464646464646e-08,3.66464646464646e-07,0,0.3,0.1,0,0,1,1,0.0212065267458196,0.0149764899434414,ac3-n6_2025-03-13_15-50-18.810659
Set_7_c3_2024-12-18_23-11-28.722666_4.52525252525253e-08_0.5_2_1000_10_4_0_0,1,2024-12-18 23:31:29.901561,25000,1,4,2500,2500,1000,10,1e+06,5.32e-07,5e-07,2e-06,4.52525252525253e-08,4.52525252525253e-07,0,0.3,0.1,0,0,1,1,0.0324367504644816,0.023230094389431,ac3-n6_2025-03-13_15-51-36.605302
Set_7_c3_2024-12-18_23-24-45.25268_4.95555555555556e-08_0.5_2_1000_10_4_0_0,1,2024-12-18 23:41:50.090233,25000,1,4,2500,2500,1000,10,1e+06,5.32e-07,5e-07,2e-06,4.95555555555556e-08,4.95555555555556e-07,0,0.3,0.1,0,0,1,1,0.0314288697885457,0.0218790197101661,ac3-n6_2025-03-13_15-50-35.012678
Set_7_c3_2024-12-18_23-24-58.675426_5.24242424242424e-08_0.5_2_1000_10_4_0_0,1,2024-12-18 23:41:31.168456,25000,1,4,2500,2500,1000,10,1e+06,5.32e-07,5e-07,2e-06,5.24242424242424e-08,5.24242424242424e-07,0,0.3,0.1,0,0,1,1,0.0356212743930136,0.0241206555708306,ac3-n6_2025-03-13_15-51-02.76606
Set_7_c3_2024-12-18_23-37-28.629193_6.38989898989899e-08_0.5_2_1000_10_4_0_0,1,2024-12-18 23:53:58.266435,25000,1,4,2500,2500,1000,10,1e+06,5.32e-07,5e-07,2e-06,6.38989898989899e-08,6.38989898989899e-07,0,0.3,0.1,0,0,1,1,0.0368941384256916,0.026250620581352,ac3-n6_2025-03-13_15-49-40.670127
Set_7_c3_2024-12-18_23-40-28.662015_6.82020202020202e-08_0.5_2_1000_10_4_0_0,1,2024-12-18 23:58:25.277018,25000,1,4,2500,2500,1000,10,1e+06,5.32e-07,5e-07,2e-06,6.82020202020202e-08,6.82020202020202e-07,0,0.3,0.1,0,0,1,1,0.0457706671348037,0.0301398298300164,ac3-n6_2025-03-13_15-50-04.788359
Set_7_c3_2024-12-18_23-52-28.612185_7.82424242424243e-08_0.5_2_1000_10_4_0_0,1,2024-12-19 00:13:02.974102,25000,1,4,2500,2500,1000,10,1e+06,5.32e-07,5e-07,2e-06,7.82424242424243e-08,7.82424242424243e-07,0,0.3,0.1,0,0,1,1,0.0512751503283632,0.0369952138854685,ac3-n6_2025-03-13_15-49-32.44842
