Set_ID,Time,end_gen,ngen_expt,Ne,n_ind_exp,n_cages,sequence_length,r_msp,r,r_expt,mu_msp,mu,mu_neutral,shape,scale,mut_ratio,proj,LDdelta,pa,Vs,randomise,pdelta_method,bdelta_method,vA_true,vA_est,pdelta_est,pdelta_var_est,bdelta_intercept_est,bdelta_slope_est,seg_sites,bdelta_var_est,va_lost
vera.bio.ed.ac.uk_2024-06-17_16:23:15.048724_fixed_1.4_1000_10_3,36:55.5,2,3,1330000,1000,10,1.00E+06,1.40E-09,1.40E-07,1.40E-06,7.00E-12,7.00E-08,2.33E-12,0.3,0.025,1,BLoM,FALSE,1,LoNL,TRUE,optim,fixed,0.009261486,0.014869329,-0.332594503,0.060658003,0,0,560,0_0_0,2.62E-05
vera.bio.ed.ac.uk_2024-06-17_16:23:15.048724_fixed_1.4_1000_10_3,44:56.4,2,3,1330000,1000,10,1.00E+06,1.40E-09,1.40E-07,1.40E-06,7.64E-12,7.64E-08,2.55E-12,0.3,0.025,1,BLoM,FALSE,1,LoNL,TRUE,optim,fixed,0.005896398,0.005761089,0.09735235,0.603902547,0,0,593,0_0_0,6.55E-06
vera.bio.ed.ac.uk_2024-06-17_16:23:15.048724_fixed_1.4_1000_10_3,58:14.5,2,3,1330000,1000,10,1.00E+06,1.40E-09,1.40E-07,1.40E-06,8.27E-12,8.27E-08,2.76E-12,0.3,0.025,1,BLoM,FALSE,1,LoNL,TRUE,optim,fixed,0.005649337,0.00570554,-1.171640035,0.20840712,0,0,576,0_0_0,1.48E-05
vera.bio.ed.ac.uk_2024-06-17_16:23:15.048724_fixed_1.4_1000_10_3,06:13.4,2,3,1330000,1000,10,1.00E+06,1.40E-09,1.40E-07,1.40E-06,8.91E-12,8.91E-08,2.97E-12,0.3,0.025,1,BLoM,FALSE,1,LoNL,TRUE,optim,fixed,0.014267743,0.008332613,0.262426107,0.392548697,0,0,651,0_0_0,2.15E-05
vera.bio.ed.ac.uk_2024-06-17_16:23:15.048724_fixed_1.4_1000_10_3,16:37.3,2,3,1330000,1000,10,1.00E+06,1.40E-09,1.40E-07,1.40E-06,9.55E-12,9.55E-08,3.18E-12,0.3,0.025,1,BLoM,FALSE,1,LoNL,TRUE,optim,fixed,0.010564816,0.009180963,0.662475469,0.549429247,0,0,701,0_0_0,7.86E-06
vera.bio.ed.ac.uk_2024-06-17_16:23:15.048724_fixed_1.4_1000_10_3,25:40.6,2,3,1330000,1000,10,1.00E+06,1.40E-09,1.40E-07,1.40E-06,1.02E-11,1.02E-07,3.39E-12,0.3,0.025,1,BLoM,FALSE,1,LoNL,TRUE,optim,fixed,0.010202301,0.014041662,0.189233768,0.397060458,0,0,753,0_0_0,1.11E-05
vera.bio.ed.ac.uk_2024-06-17_16:23:15.048724_fixed_1.4_1000_10_3,38:28.6,2,3,1330000,1000,10,1.00E+06,1.40E-09,1.40E-07,1.40E-06,1.08E-11,1.08E-07,3.61E-12,0.3,0.025,1,BLoM,FALSE,1,LoNL,TRUE,optim,fixed,0.013855035,0.011618185,0.539495977,0.782646312,0,0,830,0_0_0,2.56E-05
vera.bio.ed.ac.uk_2024-06-17_16:23:15.048724_fixed_1.4_1000_10_3,53:54.2,2,3,1330000,1000,10,1.00E+06,1.40E-09,1.40E-07,1.40E-06,1.15E-11,1.15E-07,3.82E-12,0.3,0.025,1,BLoM,FALSE,1,LoNL,TRUE,optim,fixed,0.010788159,0.009835827,-0.634252645,0.082581865,0,0,834,0_0_0,2.42E-05
vera.bio.ed.ac.uk_2024-06-17_16:23:15.048724_fixed_1.4_1000_10_3,09:07.4,2,3,1330000,1000,10,1.00E+06,1.40E-09,1.40E-07,1.40E-06,1.21E-11,1.21E-07,4.03E-12,0.3,0.025,1,BLoM,FALSE,1,LoNL,TRUE,optim,fixed,0.016738388,0.008732192,0.885990718,0.932626508,0,0,907,0_0_0,1.86E-05
vera.bio.ed.ac.uk_2024-06-17_16:23:15.048724_fixed_1.4_1000_10_3,20:52.2,2,3,1330000,1000,10,1.00E+06,1.40E-09,1.40E-07,1.40E-06,1.27E-11,1.27E-07,4.24E-12,0.3,0.025,1,BLoM,FALSE,1,LoNL,TRUE,optim,fixed,0.010534197,0.004290425,0.574065604,2.140008248,0,0,939,0_0_0,5.07E-05
vera.bio.ed.ac.uk_2024-06-17_16:23:15.048724_fixed_1.4_1000_10_3,35:29.0,2,3,1330000,1000,10,1.00E+06,1.40E-09,1.40E-07,1.40E-06,1.34E-11,1.34E-07,4.45E-12,0.3,0.025,1,BLoM,FALSE,1,LoNL,TRUE,optim,fixed,0.011434695,0.005320501,1.730837606,4.25353685,0,0,965,0_0_0,4.62E-05
vera.bio.ed.ac.uk_2024-06-17_16:23:15.048724_fixed_1.4_1000_10_3,47:33.6,2,3,1330000,1000,10,1.00E+06,1.40E-09,1.40E-07,1.40E-06,1.40E-11,1.40E-07,4.67E-12,0.3,0.025,1,BLoM,FALSE,1,LoNL,TRUE,optim,fixed,0.028272868,0.03481176,0.043354866,0.150289782,0,0,1022,0_0_0,3.27E-05
vera.bio.ed.ac.uk_2024-06-17_16:23:15.048724_fixed_1.4_1000_10_3,00:12.1,2,3,1330000,1000,10,1.00E+06,1.40E-09,1.40E-07,1.40E-06,1.46E-11,1.46E-07,4.88E-12,0.3,0.025,1,BLoM,FALSE,1,LoNL,TRUE,optim,fixed,0.022866457,0.020765537,0.269335311,0.339704477,0,0,1116,0_0_0,3.67E-05
vera.bio.ed.ac.uk_2024-06-17_16:23:15.048724_fixed_1.4_1000_10_3,18:11.1,2,3,1330000,1000,10,1.00E+06,1.40E-09,1.40E-07,1.40E-06,1.53E-11,1.53E-07,5.09E-12,0.3,0.025,1,BLoM,FALSE,1,LoNL,TRUE,optim,fixed,0.039291069,0.039950596,0.359438324,0.119053706,0,0,1150,0_0_0,3.63E-05
vera.bio.ed.ac.uk_2024-06-17_16:23:15.048724_fixed_1.4_1000_10_3,45:21.0,2,3,1330000,1000,10,1.00E+06,1.40E-09,1.40E-07,1.40E-06,1.59E-11,1.59E-07,5.30E-12,0.3,0.025,1,BLoM,FALSE,1,LoNL,TRUE,optim,fixed,0.01262598,0.015732863,-0.521840797,0.031929697,0,0,1172,0_0_0,3.48E-05
