Set_ID,Time,end_gen,ngen_expt,Ne,n_ind_exp,n_cages,sequence_length,r_msp,r,r_expt,mu_msp,mu,mu_neutral,shape,scale,mut_ratio,proj,LDdelta,pa,Vs,randomise,pdelta_method,bdelta_method,va_true,vA_true,vA_est,vA_left,pdelta_emp,bdelta_intercept_emp,bdelta_slope_emp,sigma2delta_emp,pdelta_est,pdelta_var_est,bdelta_intercept_est,bdelta_slope_est,bdelta_var_est,sigma2delta_est,seg_sites,seg_sites_neu,seg_sites_ben,seg_sites_del,s_pmq,map_length_history,map_length_expt
bigbird_2024-07-10_22:44:52.658327_1.2e-06_0.014_1.4_1000_10_3,36:42.2,20000,3,1330000,1000,10,1.00E+06,2.63E-11,1.40E-08,1.40E-06,2.26E-10,1.20E-06,6.00E-08,0.3,0.033,0,BLoM,FALSE,1,LoNL,TRUE,optim,estimate,0.024490959,0.01981348,0.016080255,0.01981348,-0.315587036,0.000151051,0.011181555,7.42E-05,0.010863088,0.049587492,0.001889438,0.002139157,3.75226852059632e-06_5.92144124506105e-07_1.82736402356478e-07,0.000245405,21661,6136,0,15525,0.00405219,0.014,1.4
bigbird_2024-07-10_22:44:52.658867_1.2e-06_14_1.4_1000_10_3,50:53.4,20000,3,1330000,1000,10,1.00E+06,2.63E-08,1.40E-05,1.40E-06,2.26E-10,1.20E-06,6.00E-08,0.3,0.033,0,BLoM,FALSE,1,LoNL,TRUE,optim,estimate,0.024809574,0.023503233,0.010057991,0.023503233,-0.920549244,1.83E-05,0.003320232,1.02E-06,-0.225527471,0.391422693,-0.000159645,-5.80E-05,1.99325848251572e-07_3.21518265255372e-07_-1.24540058152249e-09,8.77E-06,35179,9890,0,25289,0.003432985,14,1.4
bigbird_2024-07-11_00:37:07.628501_1.2e-06_14_1.4_1000_10_3,33:59.9,20000,3,1330000,1000,10,1.00E+06,2.63E-08,1.40E-05,1.40E-06,2.26E-10,1.20E-06,6.00E-08,0.3,0.033,0,BLoM,FALSE,1,LoNL,TRUE,optim,estimate,0.025347162,0.023735217,4.77E-05,0.023735217,-0.892839876,-1.86E-05,0.003475811,1.24E-06,1.812535466,4941.625293,9.23E-05,0.00093009,1.70399506361037e-07_2.74215949917995e-07_-3.44696218513225e-11,1.67E-08,35079,9685,0,25394,0.003387071,14,1.4
bigbird_2024-07-11_14:23:39.17733_1.2e-06_1.4_1.4_1000_10_3,06:28.6,20000,3,1330000,1000,10,1.00E+06,2.63E-09,1.40E-06,1.40E-06,2.26E-10,1.20E-06,6.00E-08,0.3,0.033,0,BLoM,FALSE,1,LoNL,TRUE,optim,estimate,0.023674799,0.024824943,0.009174461,0.024824943,-0.738106918,-5.34E-05,0.005375932,3.55E-06,-0.446791841,0.190973125,0.000587787,0.002009766,3.36738645188437e-07_1.96776613383444e-07_-1.85813104672256e-08,5.32E-06,29005,7900,0,21105,0.003674231,1.4,1.4
bigfoot_2024-07-10_22:44:52.655343_1.2e-06_0.14_1.4_1000_10_3,50:46.3,20000,3,1330000,1000,10,1.00E+06,2.63E-10,1.40E-07,1.40E-06,2.26E-10,1.20E-06,6.00E-08,0.3,0.033,0,BLoM,FALSE,1,LoNL,TRUE,optim,estimate,0.022099079,0.018653039,0.010288213,0.018653039,-0.385739563,4.16E-05,0.010453001,4.24E-05,-0.397101991,0.058203561,0.000670339,0.002272537,1.77125141931726e-06_4.27504103693447e-07_-6.0175417509542e-08,1.89E-05,21106,5664,0,15442,0.00397821,0.14,1.4
bigfoot_2024-07-10_22:44:52.656733_1.2e-06_0.014_1.4_1000_10_3,32:02.8,20000,3,1330000,1000,10,1.00E+06,2.63E-11,1.40E-08,1.40E-06,2.26E-10,1.20E-06,6.00E-08,0.3,0.033,0,BLoM,FALSE,1,LoNL,TRUE,optim,estimate,0.022411706,0.022340929,0.012865758,0.022340929,-0.298964585,-0.000166078,0.011606244,8.28E-05,-0.234007091,0.037236976,0.00228163,0.002417314,3.53913611597002e-06_6.98111952092225e-07_1.7267559551392e-07,6.91E-05,20945,5455,0,15490,0.004043402,0.014,1.4
bigfoot_2024-07-11_01:34:22.944918_1.2e-06_0.014_1.4_1000_10_3,41:50.2,20000,3,1330000,1000,10,1.00E+06,2.63E-11,1.40E-08,1.40E-06,2.26E-10,1.20E-06,6.00E-08,0.3,0.033,0,BLoM,FALSE,1,LoNL,TRUE,optim,estimate,0.019745534,0.01948649,0.011339116,0.01948649,-0.267521287,-0.000155155,0.011542071,0.000102931,0.080663938,0.132285348,0.003229173,0.001885752,4.28264335532026e-06_6.43865806711432e-07_-4.17812427218678e-10,0.00028311,19538,5184,0,14354,0.004001012,0.014,1.4
bigfoot_2024-07-11_01:51:07.600047_1.2e-06_0.14_1.4_1000_10_3,35:48.0,20000,3,1330000,1000,10,1.00E+06,2.63E-10,1.40E-07,1.40E-06,2.26E-10,1.20E-06,6.00E-08,0.3,0.033,0,BLoM,FALSE,1,LoNL,TRUE,optim,estimate,0.025602794,0.026826606,0.021125891,0.026826606,-0.41728449,-0.00010634,0.010277263,3.63E-05,-0.184682202,0.049963637,-0.000364423,0.003341324,1.64825567693633e-06_5.13976273096068e-07_-4.31984426602369e-08,7.95E-05,21823,5954,0,15869,0.004062685,0.14,1.4
bigfoot_2024-07-11_03:44:22.886304_1.2e-06_14_1.4_1000_10_3,59:18.5,20000,3,1330000,1000,10,1.00E+06,2.63E-08,1.40E-05,1.40E-06,2.26E-10,1.20E-06,6.00E-08,0.3,0.033,0,BLoM,FALSE,1,LoNL,TRUE,optim,estimate,0.025280247,0.026219807,0.009564828,0.026219807,-0.890415435,2.98E-05,0.003480546,1.24E-06,0.989775114,4.371737395,-0.000210924,0.002526495,2.02459196783354e-07_3.14668643265317e-07_1.86279307074374e-08,0.000192379,35337,9744,0,25593,0.003397046,14,1.4
bigfoot_2024-07-11_04:36:22.627752_1.2e-06_0.014_1.4_1000_10_3,24:52.8,20000,3,1330000,1000,10,1.00E+06,2.63E-11,1.40E-08,1.40E-06,2.26E-10,1.20E-06,6.00E-08,0.3,0.033,0,BLoM,FALSE,1,LoNL,TRUE,optim,estimate,0.018127447,0.021828025,0.018853399,0.021828025,-0.291987718,-1.26E-05,0.011402293,8.70E-05,0.043191409,0.042701758,0.00180743,0.001938238,5.84041114458225e-06_6.44124329218816e-07_1.07313766988243e-07,0.000492599,20164,5545,0,14619,0.004022506,0.014,1.4
