"","Set_ID","Time","end_gen","ngen_expt","Ne","n_ind_exp","n_cages","sequence_length","r_msp","r","r_expt","mu_msp","mu","mu_neutral","shape","scale","mut_ratio","proj","LDdelta","pa","Vs","randomise","pdelta_method","bdelta_method","vA_true","vA_est","pdelta_est","pdelta_var_est","bdelta_intercept_est","bdelta_slope_est","seg_sites","bdelta_var_est","vA_left","map_length","map_length_expt","map_length_history"
"1","bigbird_2024-07-06_15:48:19.720206_1.2e-06_0.14_1.4_1000_10","2024-07-06 17:14:02.248367","20000","3","1330000","1000","10",1e+06,"2.63157894736842e-10",1.4e-07,1.4e-06,"2.25563909774436e-10",1.2e-06,"7.5187969924812e-11","0.3","0.033","0","BLoM","FALSE","1","LoNL","TRUE","optim","estimate",0.0203681870433304,0.00933112917131803,-0.137626008688109,"0.1356161955201",0.0002969396536871,0.00253756169397895,"16407","3.32461462683062e-06_8.27658177657149e-07_6.0131272471994e-08",0.0203681870433304,"0.14","1.4","0.14"
"3","bigbird_2024-07-06_15:48:19.721025_1.2e-06_0.014_0.14_1000_10","2024-07-06 16:52:43.666397","20000","3","1330000","1000","10",1e+06,"2.63157894736842e-11",1.4e-08,1.4e-07,"2.25563909774436e-10",1.2e-06,"7.5187969924812e-11","0.3","0.033","0","BLoM","FALSE","1","LoNL","TRUE","optim","estimate",0.0169939079803374,0.00817933554576148,0.0345584004741239,"0.118657554011387",0.00184411623094376,0.00313136839953283,"15473","5.13006965726313e-06_1.94150357940039e-06_-5.69871063176395e-07",0.0169939079803374,"0.014","0.14","0.014"
"5","bigbird_2024-07-06_16:53:35.443583_1.2e-06_0.14_0.014_1000_10","2024-07-06 18:11:03.958007","20000","3","1330000","1000","10",1e+06,"2.63157894736842e-10",1.4e-07,1.4e-08,"2.25563909774436e-10",1.2e-06,"7.5187969924812e-11","0.3","0.033","0","BLoM","FALSE","1","LoNL","TRUE","optim","estimate",0.0216006603018714,0.0174452034457361,0.00241815689793116,"0.054170686247196",-0.00360918742835476,0.00456856760933238,"16230","3.15934246125025e-06_1.1687508706297e-06_-3.13451448735306e-07",0.0216006603018714,"0.14","0.014","0.14"
"7","bigbird_2024-07-06_17:14:19.607584_1.2e-06_0.14_1.4_1000_10","2024-07-06 18:43:13.465853","20000","3","1330000","1000","10",1e+06,"2.63157894736842e-10",1.4e-07,1.4e-06,"2.25563909774436e-10",1.2e-06,"7.5187969924812e-11","0.3","0.033","0","BLoM","FALSE","1","LoNL","TRUE","optim","estimate",0.0226621022653603,0.0139894452637736,-0.319532324957218,"0.0835026343891957",-0.000333645702351139,0.005927573241949,"15867","2.41499316082131e-06_1.28541272524071e-06_-1.34676610910976e-07",0.0226621022653603,"0.14","1.4","0.14"
"9","bigbird_2024-07-06_18:12:19.690029_1.2e-06_0.014_0.014_1000_10","2024-07-06 19:34:29.250358","20000","3","1330000","1000","10",1e+06,"2.63157894736842e-11",1.4e-08,1.4e-08,"2.25563909774436e-10",1.2e-06,"7.5187969924812e-11","0.3","0.033","0","BLoM","FALSE","1","LoNL","TRUE","optim","estimate",0.0214704211766084,0.0198651511545003,0.465318145480146,"0.104797035002125",-0.00161659331146759,0.0084411529950311,"14897","5.1952826413724e-06_3.946673076334e-06_4.17747798842496e-08",0.0214704211766084,"0.014","0.014","0.014"
"11","bigbird_2024-07-06_18:43:19.613266_1.2e-06_0.14_0.014_1000_10","2024-07-06 19:52:48.525963","20000","3","1330000","1000","10",1e+06,"2.63157894736842e-10",1.4e-07,1.4e-08,"2.25563909774436e-10",1.2e-06,"7.5187969924812e-11","0.3","0.033","0","BLoM","FALSE","1","LoNL","TRUE","optim","estimate",0.0214366480210531,0.0072296047576682,2,"9.9166328699848",0.000558479898222397,0.00358971976517221,"16632","1.82567065209154e-06_7.07993245110382e-07_9.13074600622673e-08",0.0214366480210531,"0.14","0.014","0.14"
"13","bigbird_2024-07-06_19:34:34.619436_1.2e-06_0.014_0.14_1000_10","2024-07-06 20:38:33.287916","20000","3","1330000","1000","10",1e+06,"2.63157894736842e-11",1.4e-08,1.4e-07,"2.25563909774436e-10",1.2e-06,"7.5187969924812e-11","0.3","0.033","0","BLoM","FALSE","1","LoNL","TRUE","optim","estimate",0.0187581581256573,0.0197899713403734,-0.0175300757724022,"0.0180030325296539",0.00115906827894516,0.00440761034624623,"15776","5.24811379466834e-06_1.93379196290035e-06_9.77588527824742e-08",0.0187581581256573,"0.014","0.14","0.014"
"15","bigbird_2024-07-06_19:53:04.603683_1.2e-06_0.14_0.014_1000_10","2024-07-06 21:10:23.639546","20000","3","1330000","1000","10",1e+06,"2.63157894736842e-10",1.4e-07,1.4e-08,"2.25563909774436e-10",1.2e-06,"7.5187969924812e-11","0.3","0.033","0","BLoM","FALSE","1","LoNL","TRUE","optim","estimate",0.0228772883263954,0.00733246192766986,0.122003813878306,"0.176719359570028",-0.000780877388392465,0.00273576201553328,"16320","1.52341619939053e-06_5.56882526801212e-07_-2.01145376566294e-07",0.0228772883263954,"0.14","0.014","0.14"
"17","bigbird_2024-07-06_20:38:49.599782_1.2e-06_1.4_1.4_1000_10","2024-07-06 23:48:35.353617","20000","3","1330000","1000","10",1e+06,"2.63157894736842e-09",1.4e-06,1.4e-06,"2.25563909774436e-10",1.2e-06,"7.5187969924812e-11","0.3","0.033","0","BLoM","FALSE","1","LoNL","TRUE","optim","estimate",0.0226452747976983,0.0131040873533487,-0.885418775077071,"0.17746226126591",5.30173004080198e-05,0.00332337118343099,"21320","4.66033234467055e-07_4.83101194213176e-07_-2.66150754638371e-09",0.0226452747976983,"1.4","1.4","1.4"
"19","bigbird_2024-07-06_21:10:34.614347_1.2e-06_0.014_0.14_1000_10","2024-07-06 22:06:31.682094","20000","3","1330000","1000","10",1e+06,"2.63157894736842e-11",1.4e-08,1.4e-07,"2.25563909774436e-10",1.2e-06,"7.5187969924812e-11","0.3","0.033","0","BLoM","FALSE","1","LoNL","TRUE","optim","estimate",0.015219009209866,0.0254460671908874,0.375692043615481,"0.105071876983014",0.000577412224840706,0.00652964288337794,"14941","5.6116041806679e-06_2.38939314974731e-06_1.96812740006741e-07",0.015219009209866,"0.014","0.14","0.014"
"21","bigbird_2024-07-06_22:06:49.664615_1.2e-06_0.14_0.14_1000_10","2024-07-07 00:00:27.103853","20000","3","1330000","1000","10",1e+06,"2.63157894736842e-10",1.4e-07,1.4e-07,"2.25563909774436e-10",1.2e-06,"7.5187969924812e-11","0.3","0.033","0","BLoM","FALSE","1","LoNL","TRUE","optim","estimate",0.0275493230387483,0.0212339636971818,0.241646864574161,"0.0839727390312581",-0.000976176278769059,0.00489398518759014,"15594","3.10108927072413e-06_1.09360770394412e-06_-4.04640080345075e-07",0.0275493230387483,"0.14","0.14","0.14"
"23","bigbird_2024-07-06_23:50:21.330937_1.2e-06_0.14_0.14_1000_10","2024-07-07 01:19:58.399865","20000","3","1330000","1000","10",1e+06,"2.63157894736842e-10",1.4e-07,1.4e-07,"2.25563909774436e-10",1.2e-06,"7.5187969924812e-11","0.3","0.033","0","BLoM","FALSE","1","LoNL","TRUE","optim","estimate",0.0199316568302715,0.00623508814738217,0.0173994302342661,"0.0441939874776586",0.000195953724819235,0.00358406876941958,"15679","1.59250098592406e-06_7.57878059160305e-07_-1.22138703603844e-09",0.0199316568302715,"0.14","0.14","0.14"
"25","bigbird_2024-07-07_00:00:34.628167_1.2e-06_1.4_0.014_1000_10","2024-07-07 02:37:57.628166","20000","3","1330000","1000","10",1e+06,"2.63157894736842e-09",1.4e-06,1.4e-08,"2.25563909774436e-10",1.2e-06,"7.5187969924812e-11","0.3","0.033","0","BLoM","FALSE","1","LoNL","TRUE","optim","estimate",0.0229055618344052,0.00552238673571489,2,"7.55234297217786",0.0011702030782468,0.00344069015981077,"21082","5.77045183022615e-07_4.97414639799471e-07_6.64814361991696e-09",0.0229055618344052,"1.4","0.014","1.4"
"27","bigbird_2024-07-07_01:20:05.133967_1.2e-06_0.014_1.4_1000_10","2024-07-07 03:14:06.762348","20000","3","1330000","1000","10",1e+06,"2.63157894736842e-11",1.4e-08,1.4e-06,"2.25563909774436e-10",1.2e-06,"7.5187969924812e-11","0.3","0.033","0","BLoM","FALSE","1","LoNL","TRUE","optim","estimate",0.0175383052759848,0.0166050306245552,0.381108737202066,"0.191039885870035",-0.00258433553985497,0.00535365077049853,"16219","3.94003365115798e-06_2.3962153928258e-06_6.5212760505042e-07",0.0175383052759848,"0.014","1.4","0.014"
"29","bigfoot_2024-07-06_15:48:19.661717_1.2e-06_0.014_1.4_1000_10","2024-07-06 16:44:44.553069","20000","3","1330000","1000","10",1e+06,"2.63157894736842e-11",1.4e-08,1.4e-06,"2.25563909774436e-10",1.2e-06,"7.5187969924812e-11","0.3","0.033","0","BLoM","FALSE","1","LoNL","TRUE","optim","estimate",0.0190106484338348,0.0256257154360781,0.0919704841586939,"0.0633843213506719",-0.00205252624876407,0.00362370662452229,"15111","6.38151433063336e-06_1.68846202661183e-06_-8.29468053456738e-08",0.0190106484338348,"0.014","1.4","0.014"
"31","bigfoot_2024-07-06_15:48:19.664238_1.2e-06_1.4_0.014_1000_10","2024-07-06 18:12:37.374308","20000","3","1330000","1000","10",1e+06,"2.63157894736842e-09",1.4e-06,1.4e-08,"2.25563909774436e-10",1.2e-06,"7.5187969924812e-11","0.3","0.033","0","BLoM","FALSE","1","LoNL","TRUE","optim","estimate",0.0235181099919927,0.00567560426405914,2,"12.9810171930367",-0.000670745073197695,0.00360540466366364,"21569","4.93415904318399e-07_5.51663161048084e-07_-5.08902388598236e-08",0.0235181099919927,"1.4","0.014","1.4"
"33","bigfoot_2024-07-06_16:44:49.581084_1.2e-06_0.014_0.14_1000_10","2024-07-06 17:53:57.967584","20000","3","1330000","1000","10",1e+06,"2.63157894736842e-11",1.4e-08,1.4e-07,"2.25563909774436e-10",1.2e-06,"7.5187969924812e-11","0.3","0.033","0","BLoM","FALSE","1","LoNL","TRUE","optim","estimate",0.0197381307163875,0.00778871960341502,-0.0469835850791302,"0.0835059733880404",0.00281814110174148,0.00435688152893202,"14644","4.91859015521126e-06_1.7436957056155e-06_-7.72093228555727e-08",0.0197381307163875,"0.014","0.14","0.014"
"35","bigfoot_2024-07-06_17:56:21.059124_1.2e-06_1.4_1.4_1000_10","2024-07-06 20:22:11.079582","20000","3","1330000","1000","10",1e+06,"2.63157894736842e-09",1.4e-06,1.4e-06,"2.25563909774436e-10",1.2e-06,"7.5187969924812e-11","0.3","0.033","0","BLoM","FALSE","1","LoNL","TRUE","optim","estimate",0.0240829618705221,0.00870166707128499,-0.279124328828955,"0.441820057484622",-0.00151751526806008,0.00386744332825538,"21258","5.22963713117017e-07_4.77682521258336e-07_2.43227601926549e-08",0.0240829618705221,"1.4","1.4","1.4"
