"","Set_ID","Time","end_gen","ngen_expt","Ne","n_ind_exp","n_cages","sequence_length","r_msp","r","r_expt","mu_msp","mu","mu_neutral","shape","scale","mut_ratio","proj","LDdelta","pa","Vs","randomise","pdelta_method","bdelta_method","va_true","vA_true","vA_est","vA_left","pdelta_emp","bdelta_intercept_emp","bdelta_slope_emp","sigma2delta_emp","pdelta_est","pdelta_var_est","bdelta_intercept_est","bdelta_slope_est","bdelta_var_est","sigma2delta_est","seg_sites","seg_sites_neu","seg_sites_ben","seg_sites_del","s_pmq","map_length_history","map_length_expt"
"1","bigbird_2024-07-10_17:26:22.793836_1.2e-06_0.14_0.014_1000_10_3","2024-07-10 18:21:46.087769","20000","3","1330000","1000","10",1e+06,"2.63157894736842e-10",1.4e-07,1.4e-08,"2.25563909774436e-10",1.2e-06,"6e-08","0.3","0.033","0","BLoM","FALSE","1","LoNL","TRUE","no_analysis","estimate","0.0214271100642051",NA,NA,NA,-0.410773552821157,-0.0063313709868315,0.00714508168933817,3.36180113678508e-05,NA,NA,NA,NA,NA,NA,22116,5934,0,16182,0.00402134960220631,"0.14","0.014"
"3","bigbird_2024-07-10_17:26:22.844919_1.2e-06_14_0.014_1000_10_3","2024-07-10 21:34:07.688254","20000","3","1330000","1000","10",1e+06,"2.63157894736842e-08",1.4e-05,1.4e-08,"2.25563909774436e-10",1.2e-06,"6e-08","0.3","0.033","0","BLoM","FALSE","1","LoNL","TRUE","no_analysis","estimate","0.0235490161162005",NA,NA,NA,-0.912074090631575,-0.00102418767016116,0.00272025117244645,1.01758936497974e-06,NA,NA,NA,NA,NA,NA,34661,9543,0,25118,0.00343401433660938,"14","0.014"
"5","bigbird_2024-07-10_17:26:22.858888_1.2e-06_0.14_0.014_1000_10_3","2024-07-10 18:22:45.661782","20000","3","1330000","1000","10",1e+06,"2.63157894736842e-10",1.4e-07,1.4e-08,"2.25563909774436e-10",1.2e-06,"6e-08","0.3","0.033","0","BLoM","FALSE","1","LoNL","TRUE","no_analysis","estimate","0.021996079147614",NA,NA,NA,-0.410538012464492,-0.00622956959254157,0.00724912640831722,3.39805578720323e-05,NA,NA,NA,NA,NA,NA,22099,6163,0,15936,0.0040410944945536,"0.14","0.014"
"8","bigbird_2024-07-10_17:26:22.941548_1.2e-06_0.14_0.014_1000_10_3","2024-07-10 18:21:25.839878","20000","3","1330000","1000","10",1e+06,"2.63157894736842e-10",1.4e-07,1.4e-08,"2.25563909774436e-10",1.2e-06,"6e-08","0.3","0.033","0","BLoM","FALSE","1","LoNL","TRUE","no_analysis","estimate","0.0239469452645809",NA,NA,NA,-0.392632322286385,-0.0061093857560326,0.00701445972458992,3.99915787705669e-05,NA,NA,NA,NA,NA,NA,21863,5770,0,16093,0.00395422036725109,"0.14","0.014"
"10","bigbird_2024-07-10_17:50:22.902482_1.2e-06_0.14_0.014_1000_10_3","2024-07-10 18:44:13.476131","20000","3","1330000","1000","10",1e+06,"2.63157894736842e-10",1.4e-07,1.4e-08,"2.25563909774436e-10",1.2e-06,"6e-08","0.3","0.033","0","BLoM","FALSE","1","LoNL","TRUE","no_analysis","estimate","0.0201729695407126",NA,NA,NA,-0.41248277214189,-0.00657380627205426,0.00710954021821427,3.37460652419892e-05,NA,NA,NA,NA,NA,NA,21429,5610,0,15819,0.00402445357234286,"0.14","0.014"
"12","bigbird_2024-07-10_18:22:07.698642_1.2e-06_1.4_0.014_1000_10_3","2024-07-10 19:54:11.701768","20000","3","1330000","1000","10",1e+06,"2.63157894736842e-09",1.4e-06,1.4e-08,"2.25563909774436e-10",1.2e-06,"6e-08","0.3","0.033","0","BLoM","FALSE","1","LoNL","TRUE","no_analysis","estimate","0.0237676433963759",NA,NA,NA,-0.731893597675715,-0.00207571079673034,0.00423862622784112,3.45730796980467e-06,NA,NA,NA,NA,NA,NA,30002,8210,0,21792,0.00360590979325205,"1.4","0.014"
"14","bigbird_2024-07-10_18:39:52.717552_1.2e-06_0.014_0.014_1000_10_3","2024-07-10 19:30:34.950728","20000","3","1330000","1000","10",1e+06,"2.63157894736842e-11",1.4e-08,1.4e-08,"2.25563909774436e-10",1.2e-06,"6e-08","0.3","0.033","0","BLoM","FALSE","1","LoNL","TRUE","no_analysis","estimate","0.0246493830703276",NA,NA,NA,-0.323699729627475,-0.00724521994686308,0.00723785174943039,6.73896498391523e-05,NA,NA,NA,NA,NA,NA,21597,5850,0,15747,0.00400132931246832,"0.014","0.014"
"16","bigbird_2024-07-10_18:44:08.24353_1.2e-06_0.14_0.014_1000_10_3","2024-07-10 19:37:15.45159","20000","3","1330000","1000","10",1e+06,"2.63157894736842e-10",1.4e-07,1.4e-08,"2.25563909774436e-10",1.2e-06,"6e-08","0.3","0.033","0","BLoM","FALSE","1","LoNL","TRUE","no_analysis","estimate","0.0185768464479987",NA,NA,NA,-0.382712994942477,-0.00640133035833612,0.00718176594147485,4.05022197075176e-05,NA,NA,NA,NA,NA,NA,20567,5436,0,15131,0.00397178626414486,"0.14","0.014"
"19","bigfoot_2024-07-10_17:26:22.667687_1.2e-06_1.4_0.014_1000_10_3","2024-07-10 19:02:05.4262","20000","3","1330000","1000","10",1e+06,"2.63157894736842e-09",1.4e-06,1.4e-08,"2.25563909774436e-10",1.2e-06,"6e-08","0.3","0.033","0","BLoM","FALSE","1","LoNL","TRUE","no_analysis","estimate","0.0232683654408002",NA,NA,NA,-0.691026851435632,-0.00219862242333257,0.00444220961852045,4.42177172078426e-06,NA,NA,NA,NA,NA,NA,29058,7843,0,21215,0.00356015906789577,"1.4","0.014"
"21","bigfoot_2024-07-10_17:26:22.672877_1.2e-06_1.4_0.014_1000_10_3","2024-07-10 19:00:43.026295","20000","3","1330000","1000","10",1e+06,"2.63157894736842e-09",1.4e-06,1.4e-08,"2.25563909774436e-10",1.2e-06,"6e-08","0.3","0.033","0","BLoM","FALSE","1","LoNL","TRUE","no_analysis","estimate","0.0239166940085235",NA,NA,NA,-0.706019108693441,-0.00215036561025808,0.0043545864012557,4.09719931337831e-06,NA,NA,NA,NA,NA,NA,29529,7943,0,21586,0.0036249664354492,"1.4","0.014"
