"","Set_ID","Time","end_gen","ngen_expt","Ne","n_ind_exp","n_cages","sequence_length","r_msp","r","r_expt","mu_msp","mu","mu_neutral","shape","scale","mut_ratio","proj","LDdelta","pa","Vs","randomise","pdelta_method","bdelta_method","vA_true","vA_est","pdelta_est","pdelta_var_est","bdelta_intercept_est","bdelta_slope_est","seg_sites","bdelta_var_est","vA_left","seg_sites_neu","seg_sites_ben","seg_sites_del","s_pmq","map_length_history","map_length_expt"
"1","bigbird_2024-07-10_00:45:52.750039_1.2e-06_1.4_0.14_1000_10","2024-07-10 01:51:27.579588","20000","3","1330000","1000","10",1e+06,"2.63157894736842e-09",1.4e-06,1.4e-07,"2.25563909774436e-10",1.2e-06,"6.66666666666667e-09","0.3","0.033","0","BLoM","FALSE","1","LoNL","TRUE","no_analysis","estimate",NA,NA,NA,NA,NA,NA,21572,NA,NA,852,0,20720,0.004741292343641,"1.4","0.14"
"3","bigbird_2024-07-10_00:45:52.753395_1.2e-06_0.14_0.014_1000_10","2024-07-10 01:18:18.773374","20000","3","1330000","1000","10",1e+06,"2.63157894736842e-10",1.4e-07,1.4e-08,"2.25563909774436e-10",1.2e-06,"6.66666666666667e-09","0.3","0.033","0","BLoM","FALSE","1","LoNL","TRUE","no_analysis","estimate",NA,NA,NA,NA,NA,NA,16900,NA,NA,660,0,16240,0.00452626070239893,"0.14","0.014"
"5","bigbird_2024-07-10_00:45:52.753771_1.2e-06_14_1.4_1000_10","2024-07-10 04:07:44.293875","20000","3","1330000","1000","10",1e+06,"2.63157894736842e-08",1.4e-05,1.4e-06,"2.25563909774436e-10",1.2e-06,"6.66666666666667e-09","0.3","0.033","0","BLoM","FALSE","1","LoNL","TRUE","no_analysis","estimate",NA,NA,NA,NA,NA,NA,26889,NA,NA,1123,0,25766,0.00472460165752401,"14","1.4"
"7","bigbird_2024-07-10_00:45:52.776837_1.2e-06_0.014_0.14_1000_10","2024-07-10 01:13:21.565889","20000","3","1330000","1000","10",1e+06,"2.63157894736842e-11",1.4e-08,1.4e-07,"2.25563909774436e-10",1.2e-06,"6.66666666666667e-09","0.3","0.033","0","BLoM","FALSE","1","LoNL","TRUE","no_analysis","estimate",NA,NA,NA,NA,NA,NA,15958,NA,NA,661,0,15297,0.00451547856634493,"0.014","0.14"
"10","bigbird_2024-07-10_00:59:22.629568_1.2e-06_0.014_1.4_1000_10","2024-07-10 01:25:54.287166","20000","3","1330000","1000","10",1e+06,"2.63157894736842e-11",1.4e-08,1.4e-06,"2.25563909774436e-10",1.2e-06,"6.66666666666667e-09","0.3","0.033","0","BLoM","FALSE","1","LoNL","TRUE","no_analysis","estimate",NA,NA,NA,NA,NA,NA,15994,NA,NA,524,0,15470,0.00430954818495175,"0.014","1.4"
"12","bigbird_2024-07-10_01:13:52.604571_1.2e-06_0.14_0.14_1000_10","2024-07-10 01:45:49.410001","20000","3","1330000","1000","10",1e+06,"2.63157894736842e-10",1.4e-07,1.4e-07,"2.25563909774436e-10",1.2e-06,"6.66666666666667e-09","0.3","0.033","0","BLoM","FALSE","1","LoNL","TRUE","no_analysis","estimate",NA,NA,NA,NA,NA,NA,17084,NA,NA,670,0,16414,0.00454420712389354,"0.14","0.14"
"14","bigbird_2024-07-10_01:18:22.630273_1.2e-06_1.4_0.014_1000_10","2024-07-10 02:26:25.725995","20000","3","1330000","1000","10",1e+06,"2.63157894736842e-09",1.4e-06,1.4e-08,"2.25563909774436e-10",1.2e-06,"6.66666666666667e-09","0.3","0.033","0","BLoM","FALSE","1","LoNL","TRUE","no_analysis","estimate",NA,NA,NA,NA,NA,NA,22674,NA,NA,872,0,21802,0.00494520269307434,"1.4","0.014"
"16","bigbird_2024-07-10_01:27:07.635808_1.2e-06_14_0.14_1000_10","2024-07-10 04:46:51.149167","20000","3","1330000","1000","10",1e+06,"2.63157894736842e-08",1.4e-05,1.4e-07,"2.25563909774436e-10",1.2e-06,"6.66666666666667e-09","0.3","0.033","0","BLoM","FALSE","1","LoNL","TRUE","no_analysis","estimate",NA,NA,NA,NA,NA,NA,26483,NA,NA,1070,0,25413,0.00466649757263391,"14","0.14"
"18","bigbird_2024-07-10_01:51:37.601717_1.2e-06_0.014_0.14_1000_10","2024-07-10 02:18:12.990997","20000","3","1330000","1000","10",1e+06,"2.63157894736842e-11",1.4e-08,1.4e-07,"2.25563909774436e-10",1.2e-06,"6.66666666666667e-09","0.3","0.033","0","BLoM","FALSE","1","LoNL","TRUE","no_analysis","estimate",NA,NA,NA,NA,NA,NA,15983,NA,NA,588,0,15395,0.0045296956178799,"0.014","0.14"
"20","bigbird_2024-07-10_01:59:22.597897_1.2e-06_0.14_0.14_1000_10","2024-07-10 02:31:55.786094","20000","3","1330000","1000","10",1e+06,"2.63157894736842e-10",1.4e-07,1.4e-07,"2.25563909774436e-10",1.2e-06,"6.66666666666667e-09","0.3","0.033","0","BLoM","FALSE","1","LoNL","TRUE","no_analysis","estimate",NA,NA,NA,NA,NA,NA,17119,NA,NA,638,0,16481,0.00438830466161497,"0.14","0.14"
