Temp_ID Permanent_ID Mutation_type Position s h Subpop Tick Number
431 0 m2 385 -0.0297428109 0.5 p-1 -350960 117
661 1 m2 1145 -0.00643399032 0.5 p-1 -11101 8
1837 2 m2 1353 -0.0237112232 0.5 p-1 -39392 4
0 3 m2 1578 -0.000165781035 0.5 p-1 -568937 960
2040 5 m2 1717 -0.00424834481 0.5 p-1 -99177 1
1877 6 m2 3204 -0.00740540586 0.5 p-1 -122165 5
1 8 m2 3683 -0.00840441696 0.5 p-1 -4308278 690
1558 9 m2 4478 -0.000415319664 0.5 p-1 -11443 15
1063 10 m2 4619 -0.0265765041 0.5 p-1 -170786 70
662 12 m2 5195 -7.90731156e-06 0.5 p-1 -924906 78
432 14 m2 7089 -0.00816394668 0.5 p-1 -4048443 999
1624 16 m2 7400 -0.0301635582 0.5 p-1 -4993 1
433 17 m2 8238 -0.0507978462 0.5 p-1 -1224717 994
1353 18 m2 8448 -0.00677334005 0.5 p-1 -462808 28
1619 19 m2 8573 -0.0127416644 0.5 p-1 -83298 13
434 20 m2 8676 -8.43616581e-05 0.5 p-1 -850630 492
2 22 m2 8944 -0.00256431522 0.5 p-1 -7557065 1716
1840 23 m2 8996 -1.42181343e-05 0.5 p-1 -71916 13
1240 24 m2 9941 -1.43476791e-05 0.5 p-1 -12392 15
1841 26 m2 10479 -0.0921530649 0.5 p-1 -37348 12
1797 27 m2 10662 -0.0198517032 0.5 p-1 -51850 5
708 28 m2 10760 -0.0164834391 0.5 p-1 -254205 195
3 29 m2 11062 -0.00365981855 0.5 p-1 -2946659 1407
289 31 m2 11359 -0.0206771437 0.5 p-1 -2952723 490
4 32 m2 12052 -0.000122258076 0.5 p-1 -2686927 1367
435 34 m2 12639 -0.000600209518 0.5 p-1 -2959695 595
436 35 m2 12676 -0.00311577111 0.5 p-1 -1851173 595
1507 37 m2 13361 -8.71066222e-05 0.5 p-1 -3871 11
1232 38 m2 14308 -0.000109000939 0.5 p-1 -9883 9
1344 39 m2 15147 -0.000266353076 0.5 p-1 -886945 34
663 40 m2 15344 -0.00420064107 0.5 p-1 -123650 152
1345 41 m2 15900 -3.29649447e-06 0.5 p-1 -2838605 34
1301 42 m2 15975 -0.0037470758 0.5 p-1 -5798 13
1696 43 m2 16228 -0.011193485 0.5 p-1 -65964 7
1143 44 m2 16928 -0.000367732224 0.5 p-1 -108059 139
2004 45 m2 16938 -0.00316312537 0.5 p-1 -695 1
5 46 m2 16990 -0.00393918063 0.5 p-1 -383308 211
1038 47 m2 17160 -0.000504318799 0.5 p-1 -1385423 125
1039 48 m2 17941 -0.000411099056 0.5 p-1 -570081 45
6 49 m2 18104 -0.0244760364 0.5 p-1 -2444592 876
1712 50 m2 19227 -0.0878274739 0.5 p-1 -65645 6
1679 51 m2 19564 -0.0173852574 0.5 p-1 -154056 21
739 54 m2 19864 -0.0585578047 0.5 p-1 -187013 125
740 55 m2 20225 -0.037901327 0.5 p-1 -2731894 972
1639 57 m2 21388 -0.00809171423 0.5 p-1 -25571 8
1401 59 m2 21887 -0.0040831673 0.5 p-1 -24263 22
664 61 m2 22769 -0.00790749956 0.5 p-1 -2862244 139
1680 62 m2 22846 -6.35080932e-10 0.5 p-1 -3066 5
1532 63 m2 23077 -0.000414050475 0.5 p-1 -144624 47
